#Wavelength, Strength, Pixel, Counts
6583.88880469, 1076.87, 922.9005, 67246.8151544
6588.52180469, 965.253, 900.6035, 52557.4926407
6591.46580469, 776.546, 886.3285, 56328.444499
6593.91980469, 417.368, 874.5085, 17125.7909664
6577.19780469, 181.627, 954.9595, 12695.4585178
6554.14280469, 195.339, 1064.8385, 11108.9430803
6531.31980469, 662.93, 1172.1515, 28795.016976
6752.81480469, 347.077, 74.9285, 47985.6601666
6756.43280469, 340.323, 55.9625, 21599.4786417
6457.26080469, 1411.79, 1512.4255, 49660.7917817
6727.43580469, 146.952, 206.9395, 9543.39060949
6677.26180469, 242.209, 463.0935, 40700.5527925
6662.24980469, 595.262, 538.4755, 32771.7870533
